datetime,market,open,high,low,close,vol
2022-03-09 19:30:00,XRP/USDT,0.75255,0.7538,0.7523,0.75364,310065.2280063608
2022-03-09 19:45:00,XRP/USDT,0.75372,0.75505,0.7531,0.75457,154643.05767193003
2022-03-09 20:00:00,XRP/USDT,0.75454,0.75577,0.75207,0.75367,274202.9421231292
2022-03-09 20:15:00,XRP/USDT,0.75347,0.75482,0.753,0.75334,196893.2262865862
2022-03-09 20:30:00,XRP/USDT,0.75333,0.75417,0.75211,0.75243,215371.16160948342
2022-03-09 20:45:00,XRP/USDT,0.7523,0.75277,0.75112,0.75119,101945.9980107322
2022-03-09 21:00:00,XRP/USDT,0.75119,0.755,0.75118,0.75453,209366.3876065834
2022-03-09 21:15:00,XRP/USDT,0.75449,0.75888,0.75377,0.75883,344888.08387126605
2022-03-09 21:30:00,XRP/USDT,0.75888,0.76049,0.74458,0.74763,695144.4507164598
2022-03-09 21:45:00,XRP/USDT,0.74763,0.75117,0.74618,0.74966,269846.7393138006
2022-03-09 22:00:00,XRP/USDT,0.74958,0.75064,0.74629,0.74967,161849.7829569157
2022-03-09 22:15:00,XRP/USDT,0.74986,0.75341,0.74879,0.75091,351926.09476532025
2022-03-09 22:30:00,XRP/USDT,0.75088,0.75215,0.74884,0.74903,211824.4407660344
2022-03-09 22:45:00,XRP/USDT,0.74883,0.75065,0.74568,0.74967,329256.33153236075
2022-03-09 23:00:00,XRP/USDT,0.74951,0.75519,0.74925,0.7523,510797.69268034835
2022-03-09 23:15:00,XRP/USDT,0.75205,0.75469,0.75192,0.75354,214911.88120900423
2022-03-09 23:30:00,XRP/USDT,0.75365,0.75824,0.75201,0.7566,216602.5529938611
2022-03-09 23:45:00,XRP/USDT,0.75659,0.75825,0.75379,0.75574,235145.06402622492
2022-03-10 00:00:00,XRP/USDT,0.75576,0.75713,0.75472,0.7561,202243.36848908546
2022-03-10 00:15:00,XRP/USDT,0.7561,0.75725,0.75418,0.75618,197078.80792242996
2022-03-10 00:30:00,XRP/USDT,0.75656,0.76929,0.75604,0.76482,712401.3482454546
2022-03-10 00:45:00,XRP/USDT,0.76482,0.76867,0.7626,0.7667,510875.8973422876
2022-03-10 01:00:00,XRP/USDT,0.76686,0.77573,0.76487,0.766,1134972.615386704
2022-03-10 01:15:00,XRP/USDT,0.76602,0.76723,0.76323,0.76483,618847.7205756879
2022-03-10 01:30:00,XRP/USDT,0.7648,0.76709,0.76305,0.76467,360590.02803084074
2022-03-10 01:45:00,XRP/USDT,0.76467,0.76489,0.76018,0.762,300800.10871293006
2022-03-10 02:00:00,XRP/USDT,0.76193,0.76816,0.76146,0.76815,250439.3931891504
2022-03-10 02:15:00,XRP/USDT,0.76816,0.76833,0.76325,0.76548,368065.3840782569
2022-03-10 02:30:00,XRP/USDT,0.76537,0.77024,0.76371,0.76822,456126.1001022055
2022-03-10 02:45:00,XRP/USDT,0.76822,0.77137,0.76799,0.77017,207817.69085824385
2022-03-10 03:00:00,XRP/USDT,0.77011,0.77011,0.76541,0.76568,301574.457214948
2022-03-10 03:15:00,XRP/USDT,0.7655,0.76628,0.76023,0.76248,736679.8342627067
2022-03-10 03:30:00,XRP/USDT,0.76242,0.76372,0.75771,0.75948,509738.1908413754
2022-03-10 03:45:00,XRP/USDT,0.75975,0.76228,0.7583,0.76143,265903.9751009398
2022-03-10 04:00:00,XRP/USDT,0.76152,0.76282,0.75895,0.75895,200914.7076188296
2022-03-10 04:15:00,XRP/USDT,0.75927,0.76083,0.75607,0.75978,396091.4696554267
2022-03-10 04:30:00,XRP/USDT,0.75999,0.76356,0.75962,0.76291,272993.32916206826
2022-03-10 04:45:00,XRP/USDT,0.76292,0.76475,0.76244,0.76253,166507.9641444355
