datetime,market,open,high,low,close,vol
2022-03-08 18:00:00,BTC/USDT,38772.9,39016.0,38703.2,38987.7,440.36843594
2022-03-08 19:00:00,BTC/USDT,38986.0,39190.0,38714.5,39066.5,274.06264607
2022-03-08 20:00:00,BTC/USDT,39066.5,39100.0,38738.1,38985.9,144.54666682
2022-03-08 21:00:00,BTC/USDT,38986.0,39218.0,38620.0,38834.4,480.89195486
2022-03-08 22:00:00,BTC/USDT,38834.4,39073.4,38644.0,38878.0,445.37881807
2022-03-08 23:00:00,BTC/USDT,38878.0,39189.3,38548.1,38764.4,552.89891128
2022-03-09 00:00:00,BTC/USDT,38764.5,38901.3,38318.1,38658.0,513.40421957
2022-03-09 01:00:00,BTC/USDT,38659.0,38865.6,38143.4,38310.0,441.49386277
2022-03-09 02:00:00,BTC/USDT,38312.0,39157.8,38299.0,39074.6,590.01754019
2022-03-09 03:00:00,BTC/USDT,39074.6,39363.4,38655.2,38686.9,390.72249263
2022-03-09 04:00:00,BTC/USDT,38684.0,38823.9,38460.0,38764.8,273.03772953
2022-03-09 05:00:00,BTC/USDT,38764.3,38896.8,38447.0,38512.1,231.52495569
2022-03-09 06:00:00,BTC/USDT,38512.0,38578.0,38393.0,38492.0,170.12450957
2022-03-09 07:00:00,BTC/USDT,38491.9,38643.0,38476.0,38564.0,99.36091513
2022-03-09 08:00:00,BTC/USDT,38563.0,38783.3,38533.2,38733.6,172.94594207
2022-03-09 09:00:00,BTC/USDT,38733.5,39026.0,38660.2,38951.1,191.67959533
2022-03-09 10:00:00,BTC/USDT,38951.1,39308.0,38906.1,39213.5,343.87960554
2022-03-09 11:00:00,BTC/USDT,39213.4,39524.9,39140.0,39414.3,463.30903347
2022-03-09 12:00:00,BTC/USDT,39414.3,41440.7,39365.9,41213.0,2278.96493197
2022-03-09 13:00:00,BTC/USDT,41213.1,41888.0,41213.1,41645.9,1362.29033883
2022-03-09 14:00:00,BTC/USDT,41645.9,41699.0,41330.1,41529.0,580.93071328
2022-03-09 15:00:00,BTC/USDT,41525.8,41655.9,41437.0,41604.2,263.57760271
2022-03-09 16:00:00,BTC/USDT,41604.1,41814.1,41530.8,41799.9,406.01719902
2022-03-09 17:00:00,BTC/USDT,41799.9,42436.9,41638.0,42060.0,1166.35114818
2022-03-09 18:00:00,BTC/USDT,42060.1,42221.9,41921.0,42030.0,428.08728622
2022-03-09 19:00:00,BTC/USDT,42030.0,42233.3,41975.0,42218.9,401.04743545
2022-03-09 20:00:00,BTC/USDT,42218.9,42375.0,42018.2,42163.7,354.57849557
2022-03-09 21:00:00,BTC/USDT,42163.7,42547.1,41719.2,41927.4,697.52712002
2022-03-09 22:00:00,BTC/USDT,41924.1,42078.4,41670.0,41875.0,418.604559
2022-03-09 23:00:00,BTC/USDT,41876.0,42311.6,41859.9,42212.0,490.57928459
2022-03-10 00:00:00,BTC/USDT,42212.1,42583.5,42116.1,42520.6,294.40265244
2022-03-10 01:00:00,BTC/USDT,42520.7,42555.0,42148.8,42242.1,195.08568618
2022-03-10 02:00:00,BTC/USDT,42242.1,42350.0,42118.5,42320.2,148.94121912
2022-03-10 03:00:00,BTC/USDT,42320.1,42328.0,41829.7,42024.0,222.484729
2022-03-10 04:00:00,BTC/USDT,42026.0,42270.0,41786.4,42212.1,160.29605834
2022-03-10 05:00:00,BTC/USDT,42212.1,42326.8,41713.4,41842.0,144.73294441
2022-03-10 06:00:00,BTC/USDT,41841.9,41946.0,41700.0,41880.0,114.27831309
2022-03-10 07:00:00,BTC/USDT,41880.0,42060.0,41752.0,41898.2,105.26228583
2022-03-10 08:00:00,BTC/USDT,41898.2,42143.9,41815.5,41951.9,125.03124059
2022-03-10 09:00:00,BTC/USDT,41949.0,42044.0,41756.0,41820.1,152.75198421
2022-03-10 10:00:00,BTC/USDT,41820.0,41957.3,40832.1,40936.0,1105.71506123
